863,687
720,107
879,279
1007,426
829,785
456,320
673,784
475,651
179,528
87,612
323,203
584,430
985,780
1032,673
180,477
567,418
161,158
507,28
1122,294
863,497
1077,254
122,98
1108,704
279,471
969,455
364,40
859,664
302,59
137,690
699,645
358,485
805,15
99,222
645,500
1142,779
258,787
1130,624
799,431
860,699
1056,368
818,181
558,294
628,224
247,288
56,57
675,478
734,403
228,187
307,505
593,280
824,66
407,505
370,243
113,163
702,54
666,656
477,749
173,195
45,511
440,476
1150,632
1051,11
680,365
197,534
474,264
1073,503
687,525
878,341
986,54
950,7
390,88
806,173
219,638
612,34
327,568
289,6
707,730
839,679
442,491
105,117
92,266
605,282
253,627
829,376
860,420
90,6
889,759
269,434
1023,726
864,399
259,52
18,102
273,270
370,596
589,315
386,435
354,305
855,489
257,504
324,636
88,718
784,187
1144,345
259,17
138,405
213,378
850,49
1083,307
473,685
186,45
301,388
346,274
691,251
1082,571
817,365
1178,621
795,77
630,555
258,409
960,659
543,619
944,321
703,308
675,561
556,407
583,144
787,714
726,222
36,349
264,29
426,526
553,773
368,600
135,184
752,729
969,420
760,279
712,640
607,532
17,767
722,705
1042,532
774,529
987,117
948,68
26,64
384,293
739,313
957,209
469,418
553,622
414,64
304,406
804,118
832,61
920,53
612,208
1093,612
421,440
750,683
21,207
226,255
670,117
211,381
231,430
458,78
92,75
855,121
893,38
1118,500
653,208
941,104
85,797
1151,306
599,77
947,769
561,454
159,5
493,334
205,417
1188,147
709,751
94,655
534,184
191,172
496,580
468,676
525,107
1027,771
692,24
178,720
1087,103
819,777
270,305
841,293
721,205
688,199
1024,378
562,100
846,451
361,415
1059,579
706,309
90,309
91,67
1189,119
137,178
979,517
257,18
193,88
249,280
226,379
111,53
487,610
596,338
1021,109
197,160
918,63
537,490
891,102
387,78
392,181
757,540
814,640
439,704
221,599
1008,223
90,114
1187,393
358,405
951,428
60,655
849,501
149,330
367,347
84,551
527,419
253,747
111,378
288,692
1059,467
711,21
1026,390
529,118
63,107
871,235
300,74
915,341
559,407
853,5
416,232
451,346
372,195
201,329
303,292
1083,427
1130,309
261,500
57,473
933,68
927,741
111,307
844,282
461,2
414,555
430,432
1133,527
274,575
1079,402
1067,777
571,765
812,9
641,767
676,734
150,734
904,609
450,556
452,732
394,125
277,406
350,720
93,123
121,187
981,160
775,671
1166,368
4,26
228,252
153,728
836,326
262,545
1177,201
232,449
69,114
1130,716
9,677
685,251
555,749
654,658
27,479
241,23
1157,626
839,505
783,670
1058,702
968,726
588,162
629,245
122,154
511,691
13,185
689,608
64,118
1006,58
326,41
927,553
1152,22
207,235
903,394
900,265
890,342
990,406
675,428
519,281
590,515
830,514
918,171
728,321
781,781
242,286
1166,111
650,733
916,585
443,214
106,743
911,794
28,396
879,603
621,673
515,68
699,271
1089,253
297,310
698,542
627,684
1090,6
1033,219
538,341
124,700
98,499
670,600
478,675
640,76
230,118
1050,559
972,44
626,327
373,741
669,418
739,706
955,466
605,360
258,57
1157,301
593,768
1007,540
1148,346
143,562
505,382
82,262
38,684
531,294
554,419
95,410
51,154
848,83
807,485
4,105
1186,433
168,229
749,311
265,664
944,779
505,386
39,697
964,612
1018,206
427,214
533,481
25,746
167,327
316,597
766,263
232,54
887,541
1075,21
199,157
366,627
344,470
211,740
107,246
1075,771
383,107
942,210
73,255
266,199
686,510
748,37
1080,692
864,208
181,115
566,59
1172,679
159,754
435,730
624,436
934,179
940,717
1131,359
481,511
359,127
577,571
156,631
456,257
327,511
1022,4
815,350
490,478
946,381
910,101
161,236
301,295
24,297
1014,416
112,648
377,278
470,499
41,196
856,654
541,23
396,451
812,606
956,789
552,376
846,670
527,751
322,735
186,603
1144,349
1057,618
704,724
152,161
454,526
1197,267
1163,124
273,180
727,74
979,215
863,453
809,646
142,274
213,221
574,762
1079,474
952,726
842,579
758,156
470,502
844,669
715,38
1096,531
5,150
643,8
1165,35
813,595
791,723
617,193
303,603
430,509
60,576
1038,4
152,136
739,721
1118,585
352,204
59,248
295,239
453,129
116,445
385,403
303,25
830,166
588,23
1198,245
1189,95
952,7
1091,709
637,47
607,466
587,264
832,471
934,623
108,541
712,489
923,183
194,668
978,501
452,267
38,755
1139,504
926,291
62,415
384,434
957,795
1033,419
204,451
790,274
477,71
582,126
